Date,Open,High,Low,Close,Adj Close,Volume
2009-04-15,30.299999,32.650002,30.000000,31.799999,26.682201,949070
2009-04-16,32.400002,33.799999,29.799999,30.150000,25.297752,1022060
2009-04-17,30.500000,31.799999,29.305000,29.965000,25.142525,430680
2009-04-20,30.900000,30.900000,28.655001,29.110001,24.425125,245500
2009-04-21,28.525000,30.900000,28.350000,30.360001,25.473957,684280
2009-04-22,30.000000,30.504999,28.000000,28.275000,23.724514,465530
2009-04-23,28.480000,29.500000,27.700001,29.120001,24.433516,345610
2009-04-24,29.700001,30.299999,28.600000,29.094999,24.412542,661880
2009-04-27,29.500000,30.469999,28.799999,29.285000,24.571970,424210
2009-04-28,29.510000,29.555000,27.219999,27.639999,23.191704,243300
2009-04-29,28.000000,28.500000,27.225000,27.500000,23.074234,460060
2009-04-30,27.400000,27.400000,27.400000,27.400000,22.990330,0
2009-05-04,28.379999,29.584999,28.100000,29.334999,24.613913,397500
2009-05-05,29.600000,32.480000,29.049999,31.645000,26.552153,1895870
2009-05-06,31.700001,32.599998,30.389999,30.584999,25.662743,1642640
2009-05-07,31.000000,31.990000,30.600000,30.805000,25.847340,939400
2009-05-08,31.334999,34.500000,30.290001,33.270000,27.915628,4448820
2009-05-11,33.810001,35.299999,33.000000,33.505001,28.112814,4820470
2009-05-12,33.500000,34.330002,31.010000,33.849998,28.402283,1636760
2009-05-13,34.240002,35.500000,32.009998,32.575001,27.332481,1432860
2009-05-14,31.975000,33.720001,31.100000,32.980000,27.672300,998480
2009-05-15,33.480000,33.790001,32.049999,32.724998,27.458340,1052560
2009-05-18,36.000000,39.250000,35.000000,38.064999,31.938934,40460
2009-05-19,40.099998,41.900002,32.099998,40.040001,33.596088,3718940
2009-05-20,40.099998,46.189999,40.040001,45.200001,37.925655,2695590
2009-05-21,45.650002,50.799999,43.250000,45.805000,38.433289,2351030
2009-05-22,46.500000,48.400002,44.110001,44.855000,37.636177,1683390
2009-05-25,45.000000,46.189999,43.599998,44.049999,36.960735,1814360
2009-05-26,44.869999,45.000000,38.900002,39.439999,33.092644,1356080
2009-05-27,40.970001,42.500000,40.205002,42.025002,35.261627,2108390
2009-05-28,42.799999,44.700001,41.900002,43.494999,36.495052,1980820
2009-05-29,44.200001,45.299999,42.174999,42.770000,35.886734,1487460
2009-06-01,44.000000,44.900002,43.060001,43.935001,36.864243,950470
2009-06-02,45.110001,45.400002,42.799999,44.095001,36.998493,3008210
2009-06-03,45.180000,52.910000,44.520000,50.110001,42.045460,7390720
2009-06-04,50.130001,52.375000,49.209999,50.209999,42.129368,1424370
2009-06-05,50.959999,52.500000,49.500000,50.775002,42.603432,2088510
2009-06-08,50.900002,50.900002,46.360001,46.985001,39.423382,1064730
2009-06-09,46.099998,49.200001,46.099998,47.584999,39.926819,1158030
2009-06-10,48.639999,50.900002,48.000000,48.570000,40.753292,987790
2009-06-11,48.500000,51.000000,47.709999,49.689999,41.693043,2375180
2009-06-12,50.000000,50.349998,47.599998,48.134998,40.388302,609560
2009-06-15,47.099998,48.990002,44.064999,45.044998,37.795593,622370
2009-06-16,44.099998,46.990002,43.500000,45.285000,37.996975,1776050
2009-06-17,45.000000,46.474998,42.404999,42.785000,35.899319,420300
2009-06-18,42.900002,43.799999,38.435001,40.345001,33.852001,549340
2009-06-19,42.299999,42.299999,39.700001,40.160000,33.696774,435740
2009-06-22,40.509998,41.450001,39.500000,39.720001,33.327587,296590
2009-06-23,38.500000,42.400002,37.020000,42.049999,35.282600,923190
2009-06-24,41.264999,42.500000,40.514999,41.270000,34.628139,313450
2009-06-25,42.325001,42.500000,40.029999,40.224998,33.751305,789130
2009-06-26,39.900002,41.750000,39.099998,40.830002,34.258945,482250
2009-06-29,41.200001,42.200001,40.599998,41.000000,34.401592,449000
2009-06-30,41.799999,41.799999,38.480000,38.709999,32.480137,280990
2009-07-01,38.520000,39.799999,37.025002,37.549999,31.506817,1840580
2009-07-02,38.439999,39.700001,38.009998,38.384998,32.207439,1093730
2009-07-03,38.125000,39.014999,38.000000,38.209999,32.060600,1040070
2009-07-06,38.799999,42.400002,34.599998,35.220001,29.551807,2564540
2009-07-07,36.480000,37.099998,35.200001,36.060001,30.256617,350100
2009-07-08,35.599998,35.680000,33.900002,34.404999,28.867966,304790
2009-07-09,34.310001,36.470001,34.134998,36.060001,30.256617,804310
2009-07-10,36.200001,36.950001,35.500000,36.044998,30.244028,332070
2009-07-13,35.939999,36.000000,34.599998,35.044998,29.404970,279790
2009-07-14,36.000000,37.590000,36.000000,37.185001,31.200567,153200
2009-07-15,37.750000,39.000000,37.505001,38.730000,32.496910,199500
2009-07-16,39.099998,39.880001,38.610001,38.700001,32.471737,233290
2009-07-17,39.200001,40.000000,38.700001,39.560001,33.193333,309120
2009-07-20,39.650002,40.849998,39.650002,40.189999,33.721962,251990
